gid spike-times
54 82.0,139.0,222.0,296.0,340.0,412.0,476.0,529.0,605.0,674.0,732.0,784.0,833.0,904.0,961.0,1025.0,1094.0,1150.0,1224.0,1292.0,1359.0,1421.0,1493.0,1549.0,1598.0,1659.0,1721.0,1786.0,1842.0,1913.0,1983.0,2042.0,2111.0,2183.0,2254.0,2326.0,2391.0,2446.0,2511.0,2569.0,2638.0,2717.0,2784.0,2856.0,2920.0,2986.0,3053.0,3125.0,3182.0,3246.0,3330.0,3399.0,3478.0,3542.0,3607.0,3673.0,3725.0,3792.0,3851.0,3914.0,3977.0,4036.0,4097.0,4161.0,4231.0,4284.0,4356.0,4419.0,4478.0,4543.0,4600.0,4661.0,4725.0,4783.0,4846.0,4922.0,4985.0,5048.0,5119.0,5179.0,5227.0,5291.0,5352.0,5421.0,5484.0,5556.0,5626.0,5691.0,5753.0,5818.0,5884.0,5945.0,5991.0,6035.0,7089.652,8168.732,8233.732,8307.732,8365.732,8438.732,8509.732,8580.732,8647.732,8710.732,8779.732,8860.732,8935.732,9014.732,9081.732,9143.732,9224.732,9291.732,9362.732,9424.732,9492.732,9560.732,9621.732,9686.732,9762.732,9819.732,9881.732,9947.732
55 66.0,148.0,224.0,286.0,367.0,446.0,527.0,605.0,662.0,735.0,794.0,860.0,929.0,992.0,1056.0,1120.0,1191.0,1260.0,1333.0,1409.0,1478.0,1542.0,1603.0,1676.0,1740.0,1807.0,1884.0,1943.0,2013.0,2072.0,2131.0,2192.0,2265.0,2331.0,2382.0,2454.0,2535.0,2607.0,2671.0,2731.0,2780.0,2840.0,2904.0,2952.0,3016.0,3084.0,3143.0,3214.0,3288.0,3356.0,3425.0,3497.0,3542.0,3621.0,3685.0,3752.0,3828.0,3899.0,3974.0,4041.0,4113.0,4174.0,4236.0,4296.0,4367.0,4429.0,4504.0,4565.0,4640.0,4710.0,4774.0,4836.0,4896.0,4975.0,5038.0,5104.0,5173.0,5245.0,5302.0,5372.0,5436.0,5500.0,5559.0,5613.0,5680.0,5752.0,5815.0,5884.0,5945.0,6011.0,7050.652,8039.652,8172.732,8246.732,8312.732,8370.732,8427.732,8476.732,8536.732,8598.732,8673.732,8738.732,8802.732,8856.732,8906.732,8969.732,9032.732,9100.732,9165.732,9225.732,9296.732,9363.732,9433.732,9515.732,9570.732,9648.732,9704.732,9772.732,9836.732,9900.732,9972.732
56 57.0,125.0,206.0,274.0,348.0,409.0,475.0,539.0,607.0,663.0,726.0,803.0,891.0,956.0,1023.0,1099.0,1170.0,1238.0,1313.0,1375.0,1438.0,1503.0,1566.0,1632.0,1699.0,1765.0,1841.0,1909.0,1960.0,2034.0,2101.0,2170.0,2232.0,2302.0,2366.0,2431.0,2500.0,2569.0,2646.0,2715.0,2777.0,2845.0,2917.0,2978.0,3031.0,3092.0,3146.0,3218.0,3282.0,3353.0,3419.0,3485.0,3547.0,3612.0,3682.0,3734.0,3793.0,3854.0,3928.0,3998.0,4067.0,4144.0,4209.0,4268.0,4335.0,4406.0,4484.0,4554.0,4644.0,4713.0,4788.0,4853.0,4920.0,4973.0,5039.0,5117.0,5191.0,5249.0,5316.0,5403.0,5465.0,5533.0,5605.0,5672.0,5737.0,5794.0,5867.0,5928.0,5993.0,6057.0,7146.652,8085.652,8186.732,8260.732,8325.732,8378.732,8438.732,8508.732,8578.732,8643.732,8724.732,8779.732,8840.732,8910.732,8985.732,9041.732,9105.732,9187.732,9254.732,9313.732,9383.732,9452.732,9512.732,9572.732,9639.732,9700.732,9761.732,9816.732,9890.732,9962.732
57 72.0,141.0,221.0,296.0,371.0,439.0,503.0,579.0,642.0,710.0,780.0,860.0,919.0,998.0,1056.0,1129.0,1192.0,1267.0,1346.0,1411.0,1501.0,1570.0,1638.0,1700.0,1767.0,1846.0,1913.0,1973.0,2026.0,2089.0,2166.0,2219.0,2289.0,2365.0,2441.0,2513.0,2572.0,2647.0,2730.0,2794.0,2862.0,2933.0,2999.0,3057.0,3121.0,3191.0,3260.0,3321.0,3375.0,3448.0,3517.0,3587.0,3662.0,3728.0,3790.0,3871.0,3922.0,3989.0,4052.0,4116.0,4183.0,4246.0,4308.0,4372.0,4448.0,4515.0,4580.0,4648.0,4714.0,4776.0,4855.0,4915.0,4994.0,5065.0,5130.0,5203.0,5275.0,5349.0,5417.0,5483.0,5555.0,5617.0,5690.0,5757.0,5829.0,5883.0,5952.0,6015.0,6066.0,7091.652,8162.732,8248.732,8320.732,8388.732,8451.732,8520.732,8597.732,8663.732,8718.732,8786.732,8862.732,8932.732,9004.732,9078.732,9147.732,9234.732,9309.732,9372.732,9436.732,9502.732,9580.732,9634.732,9685.732,9769.732,9847.732,9913.732,9979.732
58 62.0,133.0,197.0,266.0,323.0,391.0,459.0,537.0,614.0,668.0,735.0,799.0,853.0,922.0,981.0,1055.0,1135.0,1192.0,1256.0,1325.0,1395.0,1478.0,1537.0,1605.0,1673.0,1746.0,1815.0,1876.0,1957.0,2026.0,2098.0,2168.0,2248.0,2338.0,2403.0,2469.0,2541.0,2591.0,2663.0,2730.0,2798.0,2863.0,2934.0,2994.0,3059.0,3113.0,3177.0,3247.0,3303.0,3379.0,3435.0,3505.0,3573.0,3665.0,3743.0,3802.0,3856.0,3936.0,3998.0,4056.0,4117.0,4182.0,4252.0,4325.0,4405.0,4470.0,4551.0,4614.0,4677.0,4734.0,4798.0,4866.0,4954.0,5019.0,5081.0,5130.0,5202.0,5272.0,5345.0,5416.0,5497.0,5559.0,5617.0,5678.0,5750.0,5818.0,5876.0,5923.0,5988.0,6050.0,7069.652,8058.652,8166.732,8222.732,8287.732,8366.732,8430.732,8502.732,8569.732,8630.732,8697.732,8758.732,8838.732,8907.732,8970.732,9022.732,9083.732,9135.732,9199.732,9266.732,9323.732,9389.732,9448.732,9504.732,9564.732,9632.732,9696.732,9756.732,9826.732,9884.732,9940.732,9995.732
59 70.0,121.0,180.0,246.0,307.0,386.0,458.0,529.0,583.0,656.0,724.0,794.0,870.0,932.0,995.0,1065.0,1132.0,1194.0,1252.0,1318.0,1385.0,1445.0,1514.0,1575.0,1645.0,1726.0,1784.0,1837.0,1917.0,1989.0,2054.0,2133.0,2202.0,2259.0,2334.0,2393.0,2452.0,2505.0,2558.0,2614.0,2680.0,2743.0,2816.0,2882.0,2954.0,3022.0,3079.0,3118.0,3182.0,3247.0,3318.0,3383.0,3459.0,3546.0,3603.0,3676.0,3730.0,3799.0,3864.0,3933.0,3988.0,4054.0,4113.0,4173.0,4242.0,4299.0,4371.0,4443.0,4503.0,4559.0,4629.0,4702.0,4778.0,4851.0,4934.0,4998.0,5064.0,5133.0,5210.0,5269.0,5352.0,5444.0,5501.0,5574.0,5635.0,5708.0,5786.0,5850.0,5904.0,5974.0,6030.0,7165.652,8172.732,8233.732,8312.732,8376.732,8441.732,8510.732,8588.732,8650.732,8710.732,8776.732,8845.732,8899.732,8967.732,9031.732,9088.732,9152.732,9213.732,9275.732,9338.732,9397.732,9459.732,9532.732,9588.732,9667.732,9730.732,9802.732,9872.732,9939.732
60 63.0,133.0,198.0,265.0,323.0,380.0,450.0,529.0,583.0,638.0,702.0,779.0,846.0,912.0,978.0,1045.0,1111.0,1178.0,1244.0,1320.0,1385.0,1450.0,1516.0,1570.0,1652.0,1714.0,1778.0,1837.0,1894.0,1970.0,2041.0,2125.0,2208.0,2274.0,2340.0,2394.0,2452.0,2521.0,2586.0,2638.0,2717.0,2782.0,2843.0,2909.0,2965.0,3046.0,3115.0,3171.0,3236.0,3300.0,3385.0,3447.0,3508.0,3578.0,3646.0,3718.0,3783.0,3849.0,3909.0,3970.0,4036.0,4089.0,4161.0,4231.0,4293.0,4358.0,4423.0,4493.0,4565.0,4634.0,4716.0,4791.0,4856.0,4922.0,5000.0,5058.0,5140.0,5190.0,5266.0,5324.0,5382.0,5446.0,5504.0,5575.0,5642.0,5701.0,5767.0,5832.0,5909.0,5981.0,6043.0,7077.652,8050.652,8171.732,8229.732,8287.732,8354.732,8431.732,8494.732,8574.732,8639.732,8703.732,8771.732,8828.732,8897.732,8956.732,9025.732,9083.732,9137.732,9202.732,9273.732,9337.732,9410.732,9484.732,9553.732,9624.732,9701.732,9773.732,9842.732,9901.732,9965.732
61 68.0,132.0,201.0,262.0,340.0,414.0,471.0,530.0,604.0,678.0,743.0,812.0,875.0,946.0,997.0,1060.0,1117.0,1195.0,1264.0,1317.0,1375.0,1449.0,1520.0,1583.0,1654.0,1704.0,1786.0,1841.0,1908.0,1963.0,2018.0,2072.0,2145.0,2224.0,2286.0,2355.0,2413.0,2467.0,2535.0,2609.0,2668.0,2732.0,2802.0,2865.0,2945.0,3007.0,3069.0,3148.0,3214.0,3282.0,3343.0,3408.0,3472.0,3523.0,3598.0,3668.0,3723.0,3793.0,3852.0,3915.0,3995.0,4074.0,4134.0,4201.0,4262.0,4339.0,4414.0,4486.0,4564.0,4626.0,4688.0,4741.0,4803.0,4870.0,4947.0,4999.0,5066.0,5120.0,5203.0,5281.0,5358.0,5426.0,5498.0,5574.0,5639.0,5715.0,5775.0,5824.0,5884.0,5946.0,6005.0,6073.0,7078.652,8045.652,8169.732,8239.732,8312.732,8382.732,8454.732,8536.732,8606.732,8666.732,8729.732,8790.732,8840.732,8914.732,8980.732,9036.732,9099.732,9167.732,9229.732,9294.732,9373.732,9427.732,9484.732,9550.732,9628.732,9694.732,9760.732,9824.732,9900.732,9964.732
62 60.0,125.0,196.0,268.0,341.0,406.0,468.0,538.0,600.0,659.0,711.0,798.0,866.0,939.0,1003.0,1059.0,1117.0,1186.0,1256.0,1306.0,1376.0,1435.0,1504.0,1570.0,1625.0,1682.0,1755.0,1815.0,1871.0,1944.0,2018.0,2070.0,2134.0,2201.0,2260.0,2338.0,2411.0,2481.0,2545.0,2606.0,2671.0,2724.0,2802.0,2876.0,2957.0,3034.0,3106.0,3183.0,3256.0,3322.0,3395.0,3448.0,3511.0,3567.0,3632.0,3706.0,3762.0,3824.0,3891.0,3972.0,4041.0,4116.0,4177.0,4235.0,4305.0,4367.0,4425.0,4486.0,4546.0,4625.0,4692.0,4757.0,4823.0,4882.0,4942.0,5031.0,5104.0,5180.0,5260.0,5327.0,5386.0,5464.0,5539.0,5589.0,5668.0,5727.0,5792.0,5851.0,5918.0,5989.0,6056.0,7079.652,8179.732,8242.732,8313.732,8383.732,8459.732,8534.732,8584.732,8662.732,8737.732,8797.732,8870.732,8946.732,9019.732,9088.732,9158.732,9227.732,9287.732,9353.732,9418.732,9492.732,9550.732,9599.732,9663.732,9723.732,9786.732,9857.732,9917.732,9979.732
63 73.0,136.0,189.0,237.0,316.0,401.0,453.0,524.0,590.0,659.0,726.0,802.0,871.0,952.0,1015.0,1075.0,1137.0,1201.0,1262.0,1333.0,1392.0,1459.0,1529.0,1593.0,1658.0,1752.0,1820.0,1893.0,1948.0,2020.0,2076.0,2145.0,2216.0,2291.0,2358.0,2434.0,2490.0,2540.0,2606.0,2683.0,2748.0,2811.0,2881.0,2952.0,3013.0,3089.0,3169.0,3249.0,3314.0,3360.0,3439.0,3517.0,3569.0,3631.0,3692.0,3772.0,3832.0,3879.0,3943.0,4013.0,4087.0,4161.0,4231.0,4287.0,4370.0,4434.0,4494.0,4565.0,4634.0,4701.0,4766.0,4834.0,4901.0,4971.0,5023.0,5092.0,5160.0,5216.0,5274.0,5336.0,5405.0,5470.0,5545.0,5612.0,5678.0,5738.0,5813.0,5895.0,5975.0,6035.0,7129.652,8168.732,8228.732,8298.732,8376.732,8447.732,8517.732,8591.732,8645.732,8709.732,8776.732,8852.732,8920.732,8994.732,9046.732,9115.732,9178.732,9255.732,9320.732,9394.732,9489.732,9566.732,9616.732,9677.732,9746.732,9811.732,9878.732,9946.732
64 81.0,136.0,190.0,263.0,319.0,380.0,448.0,512.0,585.0,664.0,743.0,809.0,882.0,952.0,1028.0,1108.0,1170.0,1241.0,1306.0,1376.0,1439.0,1497.0,1551.0,1619.0,1692.0,1761.0,1828.0,1883.0,1945.0,2013.0,2067.0,2133.0,2200.0,2254.0,2321.0,2387.0,2439.0,2499.0,2572.0,2642.0,2707.0,2773.0,2841.0,2909.0,2976.0,3033.0,3095.0,3151.0,3216.0,3297.0,3373.0,3432.0,3492.0,3561.0,3625.0,3702.0,3780.0,3851.0,3917.0,3995.0,4056.0,4121.0,4181.0,4251.0,4320.0,4388.0,4454.0,4518.0,4566.0,4644.0,4692.0,4765.0,4830.0,4902.0,4965.0,5039.0,5098.0,5166.0,5240.0,5309.0,5381.0,5455.0,5511.0,5579.0,5643.0,5701.0,5760.0,5812.0,5887.0,5964.0,6012.0,7021.652,8039.652,8168.732,8237.732,8313.732,8388.732,8462.732,8529.732,8582.732,8650.732,8703.732,8760.732,8824.732,8893.732,8951.732,9024.732,9104.732,9162.732,9225.732,9292.732,9363.732,9429.732,9501.732,9571.732,9629.732,9694.732,9765.732,9841.732,9911.732,9975.732
65 74.0,133.0,199.0,280.0,357.0,406.0,460.0,518.0,588.0,656.0,715.0,781.0,851.0,917.0,982.0,1066.0,1136.0,1195.0,1266.0,1351.0,1415.0,1482.0,1552.0,1612.0,1677.0,1745.0,1813.0,1885.0,1959.0,2025.0,2103.0,2188.0,2259.0,2319.0,2388.0,2456.0,2508.0,2579.0,2649.0,2712.0,2776.0,2838.0,2894.0,2971.0,3040.0,3117.0,3183.0,3245.0,3302.0,3377.0,3450.0,3521.0,3597.0,3647.0,3703.0,3773.0,3830.0,3901.0,3955.0,4019.0,4087.0,4147.0,4214.0,4277.0,4348.0,4408.0,4474.0,4525.0,4600.0,4667.0,4729.0,4798.0,4854.0,4913.0,4974.0,5037.0,5104.0,5182.0,5252.0,5338.0,5405.0,5480.0,5541.0,5603.0,5660.0,5733.0,5799.0,5862.0,5935.0,5996.0,6066.0,7079.652,8099.652,8170.732,8236.732,8290.732,8359.732,8418.732,8480.732,8539.732,8616.732,8690.732,8772.732,8829.732,8912.732,8992.732,9063.732,9140.732,9190.732,9248.732,9320.732,9388.732,9451.732,9525.732,9614.732,9661.732,9726.732,9781.732,9848.732,9926.732,9980.732
66 64.0,121.0,196.0,259.0,330.0,399.0,469.0,539.0,598.0,665.0,738.0,809.0,878.0,952.0,1020.0,1081.0,1134.0,1192.0,1244.0,1302.0,1385.0,1464.0,1541.0,1607.0,1683.0,1745.0,1800.0,1872.0,1951.0,2013.0,2080.0,2141.0,2220.0,2288.0,2349.0,2421.0,2477.0,2530.0,2593.0,2656.0,2724.0,2789.0,2860.0,2930.0,2989.0,3066.0,3134.0,3210.0,3278.0,3343.0,3404.0,3470.0,3555.0,3632.0,3712.0,3773.0,3843.0,3918.0,3988.0,4045.0,4115.0,4186.0,4243.0,4307.0,4385.0,4445.0,4524.0,4585.0,4654.0,4728.0,4801.0,4865.0,4927.0,4996.0,5047.0,5111.0,5179.0,5253.0,5316.0,5380.0,5448.0,5517.0,5586.0,5641.0,5698.0,5773.0,5837.0,5913.0,5986.0,6047.0,7078.652,8003.652,8178.732,8228.732,8297.732,8361.732,8428.732,8509.732,8574.732,8657.732,8719.732,8779.732,8848.732,8907.732,8983.732,9046.732,9116.732,9174.732,9245.732,9313.732,9375.732,9444.732,9520.732,9590.732,9657.732,9733.732,9793.732,9867.732,9928.732,9988.732
67 66.0,127.0,200.0,271.0,348.0,430.0,499.0,559.0,628.0,682.0,756.0,818.0,875.0,932.0,999.0,1054.0,1133.0,1197.0,1270.0,1349.0,1432.0,1487.0,1557.0,1625.0,1690.0,1770.0,1837.0,1918.0,1989.0,2062.0,2124.0,2189.0,2265.0,2323.0,2390.0,2446.0,2520.0,2598.0,2666.0,2730.0,2787.0,2851.0,2926.0,2995.0,3056.0,3125.0,3194.0,3269.0,3338.0,3409.0,3473.0,3532.0,3608.0,3673.0,3726.0,3787.0,3849.0,3916.0,3981.0,4070.0,4150.0,4223.0,4291.0,4360.0,4417.0,4494.0,4555.0,4611.0,4675.0,4751.0,4816.0,4892.0,4954.0,5015.0,5091.0,5156.0,5229.0,5302.0,5361.0,5424.0,5488.0,5552.0,5613.0,5687.0,5754.0,5841.0,5909.0,5979.0,6037.0,7096.652,8103.652,8180.732,8237.732,8306.732,8366.732,8437.732,8528.732,8601.732,8659.732,8723.732,8780.732,8843.732,8921.732,8985.732,9062.732,9122.732,9188.732,9247.732,9305.732,9371.732,9434.732,9498.732,9568.732,9637.732,9712.732,9782.732,9849.732,9909.732,9980.732
68 68.0,129.0,199.0,269.0,339.0,415.0,484.0,553.0,614.0,687.0,758.0,820.0,899.0,969.0,1039.0,1110.0,1171.0,1241.0,1313.0,1366.0,1430.0,1488.0,1561.0,1627.0,1693.0,1766.0,1841.0,1908.0,1969.0,2030.0,2100.0,2166.0,2219.0,2288.0,2336.0,2408.0,2472.0,2540.0,2593.0,2670.0,2732.0,2797.0,2860.0,2937.0,3011.0,3082.0,3167.0,3240.0,3294.0,3360.0,3426.0,3484.0,3558.0,3636.0,3708.0,3773.0,3837.0,3919.0,3985.0,4053.0,4116.0,4188.0,4261.0,4336.0,4411.0,4470.0,4542.0,4603.0,4675.0,4752.0,4821.0,4893.0,4946.0,5007.0,5074.0,5134.0,5200.0,5264.0,5339.0,5396.0,5459.0,5523.0,5588.0,5661.0,5734.0,5801.0,5860.0,5929.0,5998.0,7071.652,8102.652,8164.732,8223.732,8281.732,8352.732,8413.732,8472.732,8540.732,8606.732,8670.732,8750.732,8811.732,8871.732,8940.732,9006.732,9071.732,9132.732,9200.732,9258.732,9321.732,9391.732,9461.732,9534.732,9591.732,9679.732,9746.732,9801.732,9874.732,9942.732
69 72.0,151.0,209.0,279.0,338.0,405.0,488.0,551.0,600.0,670.0,737.0,805.0,867.0,925.0,994.0,1067.0,1124.0,1214.0,1288.0,1352.0,1424.0,1493.0,1559.0,1629.0,1695.0,1766.0,1844.0,1914.0,1970.0,2040.0,2115.0,2181.0,2269.0,2319.0,2368.0,2430.0,2505.0,2562.0,2634.0,2697.0,2764.0,2833.0,2899.0,2966.0,3042.0,3104.0,3166.0,3245.0,3322.0,3379.0,3456.0,3518.0,3574.0,3633.0,3699.0,3757.0,3819.0,3887.0,3957.0,4017.0,4089.0,4140.0,4201.0,4277.0,4348.0,4393.0,4463.0,4526.0,4597.0,4663.0,4744.0,4810.0,4871.0,4934.0,5001.0,5068.0,5129.0,5201.0,5274.0,5333.0,5400.0,5462.0,5530.0,5581.0,5646.0,5707.0,5769.0,5827.0,5884.0,5948.0,5999.0,6063.0,7083.652,8172.732,8228.732,8295.732,8355.732,8420.732,8488.732,8566.732,8636.732,8701.732,8767.732,8846.732,8921.732,8981.732,9064.732,9131.732,9183.732,9242.732,9309.732,9375.732,9440.732,9529.732,9609.732,9681.732,9739.732,9795.732,9854.732,9911.732,9969.732
70 61.0,136.0,196.0,258.0,327.0,384.0,449.0,519.0,594.0,648.0,706.0,768.0,841.0,916.0,974.0,1048.0,1104.0,1177.0,1250.0,1323.0,1398.0,1468.0,1539.0,1595.0,1646.0,1710.0,1765.0,1834.0,1907.0,1963.0,2026.0,2073.0,2150.0,2209.0,2283.0,2346.0,2412.0,2488.0,2548.0,2610.0,2679.0,2742.0,2807.0,2880.0,2933.0,2996.0,3082.0,3148.0,3219.0,3272.0,3345.0,3407.0,3476.0,3548.0,3609.0,3680.0,3742.0,3826.0,3884.0,3953.0,4027.0,4094.0,4160.0,4212.0,4284.0,4352.0,4425.0,4509.0,4575.0,4652.0,4726.0,4772.0,4849.0,4912.0,4983.0,5045.0,5127.0,5188.0,5247.0,5325.0,5392.0,5460.0,5519.0,5577.0,5642.0,5703.0,5755.0,5824.0,5885.0,5949.0,6017.0,7023.652,8076.652,8165.732,8219.732,8284.732,8349.732,8420.732,8496.732,8560.732,8637.732,8715.732,8778.732,8844.732,8910.732,8969.732,9048.732,9112.732,9167.732,9226.732,9281.732,9348.732,9411.732,9473.732,9537.732,9602.732,9653.732,9721.732,9792.732,9859.732,9923.732,9990.732
71 82.0,141.0,217.0,277.0,363.0,429.0,495.0,552.0,615.0,698.0,758.0,843.0,899.0,974.0,1040.0,1113.0,1176.0,1232.0,1287.0,1350.0,1422.0,1483.0,1538.0,1600.0,1667.0,1742.0,1796.0,1860.0,1920.0,1995.0,2068.0,2120.0,2200.0,2265.0,2328.0,2395.0,2463.0,2521.0,2587.0,2662.0,2733.0,2790.0,2858.0,2924.0,2982.0,3049.0,3114.0,3187.0,3248.0,3305.0,3362.0,3438.0,3505.0,3592.0,3658.0,3738.0,3816.0,3892.0,3958.0,4035.0,4090.0,4156.0,4218.0,4288.0,4350.0,4407.0,4468.0,4534.0,4595.0,4658.0,4723.0,4796.0,4867.0,4928.0,5000.0,5063.0,5133.0,5204.0,5264.0,5333.0,5397.0,5457.0,5526.0,5586.0,5651.0,5717.0,5795.0,5854.0,5928.0,5990.0,6046.0,7076.652,8040.652,8196.732,8264.732,8329.732,8392.732,8449.732,8525.732,8593.732,8657.732,8742.732,8805.732,8870.732,8938.732,9009.732,9075.732,9132.732,9202.732,9255.732,9322.732,9391.732,9452.732,9516.732,9582.732,9648.732,9730.732,9810.732,9884.732,9959.732
72 68.0,134.0,205.0,265.0,332.0,407.0,476.0,546.0,614.0,685.0,740.0,782.0,853.0,922.0,987.0,1051.0,1127.0,1214.0,1275.0,1346.0,1426.0,1503.0,1571.0,1641.0,1704.0,1776.0,1847.0,1927.0,1996.0,2056.0,2112.0,2172.0,2229.0,2294.0,2371.0,2435.0,2514.0,2585.0,2652.0,2719.0,2787.0,2862.0,2930.0,2991.0,3073.0,3144.0,3207.0,3271.0,3343.0,3414.0,3475.0,3550.0,3623.0,3694.0,3748.0,3793.0,3848.0,3926.0,3988.0,4058.0,4126.0,4192.0,4255.0,4321.0,4379.0,4441.0,4508.0,4569.0,4640.0,4696.0,4761.0,4828.0,4905.0,4968.0,5031.0,5092.0,5161.0,5234.0,5293.0,5369.0,5448.0,5520.0,5581.0,5646.0,5705.0,5785.0,5857.0,5917.0,5981.0,6051.0,7100.652,8076.652,8166.732,8249.732,8311.732,8370.732,8429.732,8492.732,8565.732,8639.732,8709.732,8770.732,8823.732,8892.732,8966.732,9025.732,9098.732,9177.732,9252.732,9321.732,9384.732,9466.732,9535.732,9607.732,9662.732,9730.732,9797.732,9852.732,9932.732
73 69.0,130.0,188.0,255.0,318.0,390.0,476.0,534.0,595.0,665.0,731.0,801.0,884.0,935.0,1008.0,1084.0,1151.0,1222.0,1290.0,1352.0,1420.0,1486.0,1557.0,1646.0,1718.0,1790.0,1857.0,1924.0,1973.0,2050.0,2123.0,2190.0,2259.0,2320.0,2378.0,2437.0,2508.0,2578.0,2658.0,2724.0,2789.0,2849.0,2906.0,2975.0,3031.0,3080.0,3143.0,3209.0,3269.0,3348.0,3420.0,3477.0,3550.0,3613.0,3669.0,3729.0,3802.0,3872.0,3939.0,4001.0,4070.0,4135.0,4200.0,4257.0,4319.0,4388.0,4453.0,4511.0,4581.0,4636.0,4700.0,4763.0,4838.0,4912.0,4959.0,5017.0,5082.0,5150.0,5215.0,5292.0,5357.0,5431.0,5487.0,5549.0,5610.0,5693.0,5752.0,5820.0,5910.0,5971.0,6051.0,7080.652,8075.652,8173.732,8245.732,8314.732,8382.732,8445.732,8499.732,8567.732,8641.732,8713.732,8785.732,8849.732,8919.732,8984.732,9046.732,9122.732,9182.732,9230.732,9281.732,9340.732,9410.732,9477.732,9538.732,9605.732,9671.732,9728.732,9800.732,9865.732,9935.732
74 73.0,129.0,199.0,275.0,346.0,422.0,483.0,556.0,607.0,673.0,730.0,795.0,847.0,907.0,975.0,1042.0,1106.0,1180.0,1254.0,1329.0,1389.0,1457.0,1534.0,1607.0,1666.0,1724.0,1793.0,1864.0,1938.0,2006.0,2080.0,2142.0,2208.0,2268.0,2323.0,2396.0,2454.0,2518.0,2571.0,2647.0,2724.0,2800.0,2875.0,2956.0,3023.0,3085.0,3131.0,3198.0,3257.0,3313.0,3374.0,3439.0,3503.0,3583.0,3647.0,3696.0,3763.0,3832.0,3891.0,3958.0,4026.0,4093.0,4154.0,4221.0,4278.0,4325.0,4400.0,4468.0,4517.0,4577.0,4638.0,4711.0,4766.0,4844.0,4925.0,4996.0,5076.0,5141.0,5206.0,5282.0,5351.0,5417.0,5488.0,5560.0,5617.0,5678.0,5736.0,5799.0,5867.0,5930.0,5987.0,6056.0,7078.652,8085.652,8170.732,8237.732,8309.732,8382.732,8451.732,8510.732,8573.732,8650.732,8721.732,8787.732,8855.732,8921.732,8974.732,9049.732,9108.732,9177.732,9233.732,9310.732,9373.732,9435.732,9505.732,9557.732,9625.732,9692.732,9767.732,9834.732,9894.732,9962.732
75 72.0,144.0,207.0,267.0,340.0,411.0,488.0,551.0,620.0,686.0,742.0,811.0,879.0,957.0,1031.0,1101.0,1174.0,1250.0,1325.0,1414.0,1475.0,1532.0,1576.0,1641.0,1707.0,1778.0,1844.0,1901.0,1974.0,2033.0,2088.0,2142.0,2197.0,2269.0,2326.0,2401.0,2473.0,2532.0,2590.0,2664.0,2736.0,2813.0,2880.0,2949.0,3026.0,3082.0,3144.0,3209.0,3271.0,3353.0,3423.0,3488.0,3540.0,3602.0,3665.0,3734.0,3797.0,3873.0,3938.0,4012.0,4076.0,4158.0,4222.0,4291.0,4346.0,4415.0,4487.0,4552.0,4621.0,4695.0,4754.0,4829.0,4908.0,4961.0,5018.0,5089.0,5163.0,5225.0,5288.0,5349.0,5409.0,5475.0,5529.0,5588.0,5658.0,5725.0,5791.0,5858.0,5916.0,5993.0,6070.0,7054.652,8064.652,8182.732,8244.732,8304.732,8384.732,8444.732,8516.732,8579.732,8643.732,8702.732,8775.732,8841.732,8918.732,8991.732,9055.732,9121.732,9185.732,9251.732,9319.732,9385.732,9474.732,9525.732,9582.732,9654.732,9724.732,9788.732,9857.732,9939.732
76 58.0,123.0,188.0,256.0,322.0,381.0,434.0,503.0,571.0,642.0,709.0,776.0,857.0,915.0,976.0,1042.0,1105.0,1187.0,1255.0,1320.0,1382.0,1460.0,1529.0,1598.0,1651.0,1721.0,1787.0,1866.0,1920.0,1995.0,2065.0,2141.0,2202.0,2265.0,2324.0,2392.0,2467.0,2550.0,2623.0,2696.0,2762.0,2827.0,2896.0,2955.0,3017.0,3082.0,3146.0,3200.0,3264.0,3323.0,3373.0,3439.0,3510.0,3583.0,3650.0,3721.0,3779.0,3851.0,3906.0,3990.0,4056.0,4128.0,4198.0,4254.0,4321.0,4393.0,4453.0,4520.0,4589.0,4655.0,4727.0,4792.0,4860.0,4946.0,5012.0,5085.0,5140.0,5208.0,5263.0,5326.0,5394.0,5454.0,5534.0,5597.0,5674.0,5736.0,5819.0,5877.0,5940.0,6011.0,6074.0,7037.652,8057.652,8161.732,8229.732,8291.732,8348.732,8405.732,8471.732,8550.732,8629.732,8702.732,8769.732,8832.732,8913.732,8978.732,9034.732,9102.732,9169.732,9230.732,9292.732,9362.732,9428.732,9490.732,9558.732,9634.732,9707.732,9772.732,9841.732,9914.732,9983.732
